title,price,reviews,rating,company,customerreviews,link
Amazon Brand - Symbol Men's Solid Formal Shirt (Pack of 2),536.0,203,4.1,,4.1 out of 5 stars,https://www.amazon.in/Amazon-Brand-Regular-SS18-SMFS-213_Beige-Green_42/dp/B07DDLX1JL/ref=sr_1_25?keywords=Shirts&qid=1559924489&s=gateway&sr=8-25
Katso Men's Cotton Round Neck T-shirt,278.0,1017,3.9,Katso,3.9 out of 5 stars,https://www.amazon.in/Katso-Mens-Cotton-T-Shirt-X-Large/dp/B01LW6KPK2/ref=sr_1_35?keywords=Shirts&qid=1559924489&s=gateway&sr=8-35
Zombom Men Casual Shirt,,255,4.1,Zombom,4.1 out of 5 stars,https://www.amazon.in/Zombom-Casual-Shirt-ZBSH702_Sky-Blue_38/dp/B078V8DGP4/ref=sr_1_33?keywords=Shirts&qid=1559924489&s=gateway&sr=8-33
Park Avenue Men's Plain Slim Fit Formal Shirt,915.0,17,3.7,,3.7 out of 5 stars,https://www.amazon.in/dp/B07CMFL6G9?aaxitk=1Rlle2cR5GpzoMovza.LBg&pd_rd_i=B07CMFL6G9&pf_rd_p=ddc78b0d-0a78-403f-9399-68105b975bab&hsa_cr_id=7280274540102&sb-ci-n=price&sb-ci-v=948.00&sb-ci-m=%E2%82%B9
Diverse Men's Solid Slim Fit Casual Shirt,439.0,14,4.7,,4.7 out of 5 stars,https://www.amazon.in/Diverse-Solid-Casual-DCMCF13SC10L03-231A_Sky-Blue_XX-Large/dp/B07G8ZQY66/ref=sr_1_40?keywords=Shirts&qid=1559924489&s=gateway&sr=8-40
EYEBOGLER Regular Fit Men's Cotton T-Shirt (T1),382.0,1100,3.8,EYEBOGLER,3.8 out of 5 stars,https://www.amazon.in/Seven-Rocks-Regular-NM_Navy-Melange_Large/dp/B01N9QZ0TR/ref=sr_1_39?keywords=Shirts&qid=1559924489&s=gateway&sr=8-39
Amazon Brand - Symbol Men's Plain Casual Shirt,449.0,36,3.8,,3.8 out of 5 stars,https://www.amazon.in/Amazon-Brand-Symbol-Regular-AW-SY-MCS-1146_Black_Small/dp/B07F91GB58/ref=sr_1_49?keywords=Shirts&qid=1559924489&s=gateway&sr=8-49
Dennis Lingo Men's Solid Casual Full Sleeves Black Cotton Shirt,549.0,525,3.7,Dennis Lingo,3.7 out of 5 stars,https://www.amazon.in/Dennis-Lingo-Plain-Casual-C201_Black_Large/dp/B0158FJZ4I/ref=sr_1_32?keywords=Shirts&qid=1559924489&s=gateway&sr=8-32
Campus Sutra Men's Checkered Casual Shirts,699.0,273,4.2,Campus Sutra,4.2 out of 5 stars,https://www.amazon.in/Campus-Sutra-Checkered-Regular-AZZ18SHRT_PNCHK7_M_PLN_BLMA_AZ_M/dp/B07CZDLXCP/ref=ice_ac_b_dpb?keywords=Shirts&qid=1559924489&s=gateway&sr=8-13
IndoPrimo Men's Cotton Casual Shirt for Men Full Sleeves,,65,4.1,IndoPrimo,4.1 out of 5 stars,https://www.amazon.in/IndoPrimo-Cotton-Casual-Sleeves-Medium/dp/B07Q5YBSL4/ref=sr_1_28?keywords=Shirts&qid=1559924489&s=gateway&sr=8-28
Diverse Men's Solid Slim Fit Casual Shirt,439.0,14,4.7,,4.7 out of 5 stars,https://www.amazon.in/Diverse-Solid-Casual-DCMCF13SC10L03-231A_Sky-Blue_XX-Large/dp/B07G8ZQY66/ref=sr_1_40?keywords=Shirts&qid=1559924489&s=gateway&sr=8-40
EYEBOGLER Men's Cotton T-Shirt (Pack Of 1) (Un1Wm),393.0,981,3.5,EYEBOGLER,3.5 out of 5 stars,https://www.amazon.in/Seven-Rocks-T-Shirt-M-Cun-Wm_Wine-Melange_Medium/dp/B073FKXQ9H/ref=sr_1_31?keywords=Shirts&qid=1559924489&s=gateway&sr=8-31
Katso Men's Cotton Round Neck T-shirt,278.0,1017,3.9,Katso,3.9 out of 5 stars,https://www.amazon.in/Katso-Mens-Cotton-T-Shirt-X-Large/dp/B01LW6KPK2/ref=sr_1_35?keywords=Shirts&qid=1559924489&s=gateway&sr=8-35
Park Avenue Men's Checkered Slim Fit Formal Shirt,1049.0,2,4.5,,4.5 out of 5 stars,https://www.amazon.in/dp/B07FK2PYTY?aaxitk=1Rlle2cR5GpzoMovza.LBg&pd_rd_i=B07FK2PYTY&pf_rd_p=ddc78b0d-0a78-403f-9399-68105b975bab&hsa_cr_id=7280274540102&sb-ci-n=primeLogo&sb-ci-a=B07FK2PYTY
Campus Sutra Men's Checkered Casual Shirts,699.0,273,4.2,Campus Sutra,4.2 out of 5 stars,https://www.amazon.in/Campus-Sutra-Checkered-Regular-AZZ18SHRT_PNCHK7_M_PLN_BLMA_AZ_M/dp/B07CZDLXCP/ref=sr_1_13?keywords=Shirts&qid=1559924489&s=gateway&sr=8-13
Maniac Men's Cotton T-Shirt (Mens-Ss18-Rn-Fs-Checked-Tshirt),425.0,801,3.2,Maniac,3.2 out of 5 stars,https://www.amazon.in/Maniac-Fullsleeve-Checked-Cotton-T-Shirt/dp/B07B6RWRV6/ref=sr_1_17?keywords=Shirts&qid=1559924489&s=gateway&sr=8-17
IndoPrimo Men's Cotton Casual Shirt for Men Full Sleeves,,144,3.6,IndoPrimo,3.6 out of 5 stars,https://www.amazon.in/IndoPrimo-Cotton-Casual-Sleeves-Medium/dp/B07H1H3YL8/ref=sr_1_12?keywords=Shirts&qid=1559924489&s=gateway&sr=8-12
Amazon Brand - Symbol Men's Plain Casual Shirt,449.0,36,3.8,,3.8 out of 5 stars,https://www.amazon.in/Amazon-Brand-Symbol-Regular-AW-SY-MCS-1146_Black_Small/dp/B07F91GB58/ref=sr_1_49?keywords=Shirts&qid=1559924489&s=gateway&sr=8-49
IndoPrimo Men's Cotton Casual Shirt for Men Full Sleeves,,144,3.6,IndoPrimo,3.6 out of 5 stars,https://www.amazon.in/IndoPrimo-Cotton-Casual-Sleeves-Medium/dp/B07H1H3YL8/ref=sr_1_12?keywords=Shirts&qid=1559924489&s=gateway&sr=8-12
Katso Men's Cotton T-Shirt (Pack Of 1) (Katso-Hood-Full),259.0,1991,3.9,Katso,3.9 out of 5 stars,https://www.amazon.in/Katso-Cotton-Hooded-T-Shirt-Katso-Hood-Full-Black-M/dp/B01HQ4O058/ref=sr_1_6?keywords=Shirts&qid=1559924489&s=gateway&sr=8-6
Zombom Men Casual Shirt,,255,4.1,Zombom,4.1 out of 5 stars,https://www.amazon.in/Zombom-Casual-Shirt-ZBSH702_Sky-Blue_38/dp/B078V8DGP4/ref=sr_1_33?keywords=Shirts&qid=1559924489&s=gateway&sr=8-33
EYEBOGLER Men's Cotton T-Shirt (Pack Of 1) (Un1Wm),393.0,981,3.5,EYEBOGLER,3.5 out of 5 stars,https://www.amazon.in/Seven-Rocks-T-Shirt-M-Cun-Wm_Wine-Melange_Medium/dp/B073FKXQ9H/ref=sr_1_31?keywords=Shirts&qid=1559924489&s=gateway&sr=8-31
