title,price,reviews,rating,company,customerreviews,link
Jabra Men's Perfect Black Sneakers,241.0,57,3.6,Jabra,3.6 out of 5 stars,https://www.amazon.in/Jabra-Boxer-Fashionably-Quality-Casual/dp/B01HOKZ03A/ref=sr_1_34?keywords=Shoes&qid=1559396013&s=gateway&sr=8-34
Sklodge Men Tan Brown Black Colour Outdoor Formal Casual Ethnic Loafer Sandal Shoe,,4,4.1,Sklodge,4.1 out of 5 stars,https://www.amazon.in/Sklodge-Colour-Outdoor-Formal-Casual/dp/B07QY8TJRG/ref=sr_1_22?keywords=Shoes&qid=1559396013&s=gateway&sr=8-22
ETHICS Perfect Ultra Lite Sport Shoes for Men,399.0,396,3.2,ETHICS,3.2 out of 5 stars,https://www.amazon.in/Ethics-Mens-Sports-Shoe-Navy/dp/B0796WZFLB/ref=sr_1_11?keywords=Shoes&qid=1559396013&s=gateway&sr=8-11
ESSENCE Men's Synthetic High Top Shoes,499.0,422,3.6,ESSENCE,3.6 out of 5 stars,https://www.amazon.in/ESSENCE-Mens-Black-High-Shoes-7/dp/B078S8TFKT/ref=sr_1_42?keywords=Shoes&qid=1559396013&s=gateway&sr=8-42
Jabra Men's Perfect Black Sneakers,241.0,57,3.6,Jabra,3.6 out of 5 stars,https://www.amazon.in/Jabra-Boxer-Fashionably-Quality-Casual/dp/B01HOKZ03A/ref=sr_1_34?keywords=Shoes&qid=1559396013&s=gateway&sr=8-34
Earton Men Sports Running Shoe,398.0,226,2.8,Earton,2.8 out of 5 stars,https://www.amazon.in/Earton-Sports-Running-Shoe-Blue/dp/B07CF81HQD/ref=sr_1_50?keywords=Shoes&qid=1559396013&s=gateway&sr=8-50
Knoos Men's Comfort Casual Loafers,499.0,282,3.3,Knoos,3.3 out of 5 stars,https://www.amazon.in/Knoos-Comfort-Casual-Synthetic-Loafers/dp/B07H97BCSC/ref=sr_1_53?keywords=Shoes&qid=1559396013&s=gateway&sr=8-53
Sparx Men's Canvas Sneakers,636.0,3977,4.2,,4.2 out of 5 stars,https://www.amazon.in/Sparx-Mens-Black-Sneakers-SM-162/dp/B00IZ95T7C/ref=sr_1_13?keywords=Shoes&qid=1559396013&s=gateway&sr=8-13
RD FASHION Men's Casual Canvas Running Shoes,272.0,21,3.4,RD FASHION,3.4 out of 5 stars,https://www.amazon.in/RD-FASHION-Casual-Canvas-Running/dp/B07N4LCN27/ref=sr_1_33?keywords=Shoes&qid=1559396013&s=gateway&sr=8-33
Rockfield Men's White Sneaker's Shoes,299.0,399,3.0,Rockfield,3.0 out of 5 stars,https://www.amazon.in/Rockfield-Mens-White-Sneakers-Shoes/dp/B074CMKK8L/ref=sr_1_47?keywords=Shoes&qid=1559396013&s=gateway&sr=8-47
